countrycode,year,Y,K,L,A,PA,gY,gK,gL,gA,gPA,gPA_lag1,gPA_lag2,gPA_lag3
CAN,1980,687911.0625,2552616.25,62465.89964928595,0.981520414352417,1240.1277465820312,NA,NA,NA,NA,NA,NA,NA,NA
CAN,1981,711280.5625,2682009,64049.63942346747,0.9797945618629456,1362.6773986816406,3.3407394685161407,4.944732695422793,2.5037596482681224,-0.17598936997339776,9.423704419940027,NA,NA,NA
CAN,1982,693443.5,2778083.5,61399.55101453861,0.9661703109741212,1332.7047424316406,-2.539718900470156,3.519516091726871,-4.2255876057147645,-1.400279490813559,-2.2240921835886773,9.423704419940027,NA,NA
CAN,1983,717049.3125,2867198.75,62030.71146622245,0.9737986326217652,1423.3825836181643,3.3474848749603936,3.1574206357154466,1.0227085971479255,0.7864415551405195,6.582562193619967,-2.2240921835886773,9.423704419940027,NA
CAN,1984,767394.6875,2957151,64472.86129144667,0.9934467077255248,1569.370361328125,6.785664067752606,3.0890797002429693,3.8614771457021746,1.99758800323623,9.763835513318408,6.582562193619967,-2.2240921835886773,9.423704419940027
CAN,1985,786765.75,3060911,67462.80613365046,0.996713638305664,1565.4600067138672,2.4929299747112665,3.448627923963521,4.533204568076243,0.3283085728322577,-0.24947803761694587,9.763835513318408,6.582562193619967,-2.2240921835886773
CAN,1986,801484.1875,3168508.25,70187.77555146851,0.9799067974090576,1757.3627319335942,1.8534688411268263,3.454830945872267,3.9597732655787254,-1.700604288363313,11.563452268498065,-0.24947803761694587,9.763835513318408,6.582562193619967
CAN,1987,858473.25,3292934.5,73162.17704012821,0.9788544178009032,2070.821350097656,6.869027763264235,3.8518218985446495,4.150442190146286,-0.10745359886048973,16.41310785752985,11.563452268498065,-0.24947803761694587,9.763835513318408
CAN,1988,901253.1875,3434797.75,76221.36003054409,0.9793502688407898,2189.4439086914067,4.863070449358631,4.217893223679248,4.096315844698495,0.0506434341483248,5.5702272547821785,16.41310785752985,11.563452268498065,-0.24947803761694587
CAN,1989,934353.75,3582253.5,78022.85073218908,0.9723423719406128,2348.4635925292973,3.6068888498109075,4.203402689766378,2.33600031176735,-0.7181383862891827,7.01137353162995,5.5702272547821785,16.41310785752985,11.563452268498065
CAN,1990,941469.375,3712088.75,78513.031741076,0.9591342210769652,2239.0594482421875,0.7586705841601926,3.5602651928437368,0.6262878560045593,-1.3676952444304527,-4.770543541764294,7.01137353162995,5.5702272547821785,16.41310785752985
CAN,1991,917014,3822054,76717.8345368489,0.947123885154724,2192.5396728515625,-2.6319080371628445,2.91932508645818,-2.3130415810324934,-1.2601121335652283,-2.0995348609548437,-4.770543541764294,7.01137353162995,5.5702272547821785
CAN,1992,925953.8125,3919832.5,76367.51284198326,0.9523742198944092,2285.461334228516,0.9701615576991784,2.52609488509119,-0.45768234829601795,0.5528142509573453,4.150736088381901,-2.0995348609548437,-4.770543541764294,7.01137353162995
CAN,1993,947825.9375,4011183.75,77412.80816235435,0.9616559743881226,2799.482208251953,2.334652027204598,2.303747395932554,1.359486588163783,0.9698726048210087,20.286657367052463,4.150736088381901,-2.0995348609548437,-4.770543541764294
CAN,1994,993124.5,4115520,80055.74722520447,0.972710132598877,3106.159210205078,4.668515866502432,2.567879583865995,3.357098526932667,1.1429355078578955,10.3952507876655,20.286657367052463,4.150736088381901,-2.0995348609548437
CAN,1995,1042290.125,4209453.5,81843.46604049426,0.9751095771789552,3685.8794555664062,4.831958063117625,2.256763619641511,2.2085239861555195,0.24637247294912665,17.112217306127242,10.3952507876655,20.286657367052463,4.150736088381901
CAN,1996,1068538.625,4312274.5,83817.28350651126,0.9645129442214966,3922.4609375,2.487160845185521,2.413266184324314,2.3830761146422574,-1.0926598622661283,6.221009160919344,17.112217306127242,10.3952507876655,20.286657367052463
CAN,1997,1111285.875,4441155,85874.12266552744,0.9759523272514344,4809.875549316406,3.9225846858993663,2.9448986614747596,2.4243300760817377,1.179048728039977,20.395196345683253,6.221009160919344,17.112217306127242,10.3952507876655
CAN,1998,1127568.75,4571276.5,88231.26639250582,0.9799343347549438,5060.64013671875,1.4545975356071494,2.887800981610944,2.7078860363349833,0.40718238766933973,5.082177407075328,20.395196345683253,6.221009160919344,17.112217306127242
CAN,1999,1208232,4704641,91193.46151319264,0.9926905632019044,5357.050537109375,6.909436790742696,2.8756980753524175,3.3021806135257847,1.2933433289624694,5.692056616893382,5.082177407075328,20.395196345683253,6.221009160919344
CAN,2000,1284667.375,4841405.5,93589.1814676358,1.0120609998703003,5630.115905761719,6.134169864616368,2.865560281514057,2.5931593616771664,1.9325127225347345,4.9716478409084885,5.692056616893382,5.082177407075328,20.395196345683253
CAN,2001,1273725.25,4987062.5,94054.61907160784,1.0135129690170288,5660.772766113281,-0.8553958147613727,2.964198793540973,0.49608732841619485,0.1433637495069211,0.5430384902258112,4.9716478409084885,5.692056616893382,5.082177407075328
CAN,2002,1282036.25,5129189.5,95642.2316698657,1.0217574834823608,5793.776123046875,0.6503759678267329,2.810059542769139,1.6738808904934288,0.8101684521378214,2.322384514313036,0.5430384902258112,4.9716478409084885,5.692056616893382
CAN,2003,1346111.25,5282980,97593.6904121291,1.0149681568145752,5624.291748046875,4.8770245880382035,2.95426779493404,2.019836753087212,-0.6666928211700198,-2.968923044948113,2.322384514313036,0.5430384902258112,4.9716478409084885
CAN,2004,1406270.75,5458390,100288.34433332615,1.014654517173767,5931.979248046875,4.3721462307143355,3.2663542031500015,2.7236636259999614,-0.030906202155136196,5.326289725860356,-2.968923044948113,2.322384514313036,0.5430384902258112
CAN,2005,1514082.625,5657922.5,101821.32159284675,1.0210286378860474,6134.9339599609375,7.386838508508831,3.590290088727599,1.5170047915317397,0.6262410265562753,3.3641387669151257,5.326289725860356,-2.968923044948113,2.322384514313036
CAN,2006,1522705.125,5871211.5,103981.2869030336,1.0172613859176636,6209.8048095703125,0.5678713088434151,3.700422559453642,2.099142123878117,-0.36964869709776305,1.2130150187822153,3.3641387669151257,5.326289725860356,-2.968923044948113
CAN,2007,1555354.125,6085361,106831.12671172593,1.0052270889282229,6419.912353515625,2.1214812232109637,3.5825049931238695,2.7038383348164885,-1.1900625559497233,3.327500168809472,1.2130150187822153,3.3641387669151257,5.326289725860356
CAN,2008,1620558.5,6296167.5,108856.11165228598,0.9894015192985536,6239.0577392578125,4.106759009410332,3.4055064062597395,1.8777600901103142,-1.5868519732731643,-2.8575297853191017,3.327500168809472,1.2130150187822153,3.3641387669151257
CAN,2009,1457230.625,6451458,105681.00701909684,0.9717696905136108,6473.373291015625,-10.623304065289751,2.436503682029212,-2.9601744460507007,-1.798140189932857,3.6868179180368443,-2.8575297853191017,3.327500168809472,1.2130150187822153
CAN,2010,1558715.625,6645609.5,108364.5621782794,0.9761866331100464,6805.09228515625,6.732436257779106,2.965025928433107,2.5075929266471064,0.4534958112472273,4.997385055089687,3.6868179180368443,-2.8575297853191017,3.327500168809472
