entity_id,time,outcome,treatment,post,treated_post,control_var1,control_var2
1,1,10.5,0,0,0,2.1,1.3
1,2,11.2,0,0,0,2.3,1.4
1,3,11.8,0,0,0,2.5,1.5
1,4,12.1,0,0,0,2.7,1.6
1,5,12.6,0,0,0,2.9,1.7
1,6,13.2,0,0,0,3.1,1.8
1,7,13.7,0,0,0,3.3,1.9
1,8,14.1,0,0,0,3.5,2.0
1,9,14.6,0,0,0,3.7,2.1
1,10,15.0,0,0,0,3.9,2.2
2,1,8.2,0,0,0,1.8,0.9
2,2,8.7,0,0,0,2.0,1.0
2,3,9.1,0,0,0,2.2,1.1
2,4,9.4,0,0,0,2.4,1.2
2,5,9.8,0,0,0,2.6,1.3
2,6,10.2,0,0,0,2.8,1.4
2,7,10.5,0,0,0,3.0,1.5
2,8,10.9,0,0,0,3.2,1.6
2,9,11.2,0,0,0,3.4,1.7
2,10,11.6,0,0,0,3.6,1.8
3,1,12.8,0,0,0,2.5,1.6
3,2,13.4,0,0,0,2.7,1.7
3,3,13.9,0,0,0,2.9,1.8
3,4,14.3,0,0,0,3.1,1.9
3,5,14.8,0,0,0,3.3,2.0
3,6,15.2,0,0,0,3.5,2.1
3,7,15.7,0,0,0,3.7,2.2
3,8,16.1,0,0,0,3.9,2.3
3,9,16.6,0,0,0,4.1,2.4
3,10,17.0,0,0,0,4.3,2.5
4,1,9.5,0,0,0,2.0,1.2
4,2,10.0,0,0,0,2.2,1.3
4,3,10.4,0,0,0,2.4,1.4
4,4,10.7,0,0,0,2.6,1.5
4,5,11.1,0,0,0,2.8,1.6
4,6,11.5,0,0,0,3.0,1.7
4,7,11.8,0,0,0,3.2,1.8
4,8,12.2,0,0,0,3.4,1.9
4,9,12.5,0,0,0,3.6,2.0
4,10,12.9,0,0,0,3.8,2.1
5,1,11.3,0,0,0,2.3,1.4
5,2,11.8,0,0,0,2.5,1.5
5,3,12.2,0,0,0,2.7,1.6
5,4,12.6,0,0,0,2.9,1.7
5,5,13.0,0,0,0,3.1,1.8
5,6,13.4,0,0,0,3.3,1.9
5,7,13.8,0,0,0,3.5,2.0
5,8,14.2,0,0,0,3.7,2.1
5,9,14.6,0,0,0,3.9,2.2
5,10,15.0,0,0,0,4.1,2.3
6,1,15.2,1,0,0,3.0,2.0
6,2,15.8,1,0,0,3.2,2.1
6,3,16.3,1,0,0,3.4,2.2
6,4,16.7,1,0,0,3.6,2.3
6,5,17.2,1,0,0,3.8,2.4
6,6,17.6,1,1,1,4.0,2.5
6,7,18.5,1,1,1,4.2,2.6
6,8,19.3,1,1,1,4.4,2.7
6,9,20.1,1,1,1,4.6,2.8
6,10,20.8,1,1,1,4.8,2.9
7,1,13.7,1,0,0,2.7,1.8
7,2,14.2,1,0,0,2.9,1.9
7,3,14.6,1,0,0,3.1,2.0
7,4,15.0,1,0,0,3.3,2.1
7,5,15.4,1,0,0,3.5,2.2
7,6,15.8,1,0,0,3.7,2.3
7,7,16.2,1,1,1,3.9,2.4
7,8,17.1,1,1,1,4.1,2.5
7,9,17.9,1,1,1,4.3,2.6
7,10,18.6,1,1,1,4.5,2.7
8,1,16.8,1,0,0,3.4,2.2
8,2,17.3,1,0,0,3.6,2.3
8,3,17.7,1,0,0,3.8,2.4
8,4,18.1,1,0,0,4.0,2.5
8,5,18.5,1,0,0,4.2,2.6
8,6,18.9,1,0,0,4.4,2.7
8,7,19.3,1,0,0,4.6,2.8
8,8,19.7,1,1,1,4.8,2.9
8,9,20.6,1,1,1,5.0,3.0
8,10,21.4,1,1,1,5.2,3.1
9,1,14.5,1,0,0,2.9,1.9
9,2,15.0,1,0,0,3.1,2.0
9,3,15.4,1,0,0,3.3,2.1
9,4,15.8,1,0,0,3.5,2.2
9,5,16.2,1,0,0,3.7,2.3
9,6,16.6,1,0,0,3.9,2.4
9,7,17.0,1,0,0,4.1,2.5
9,8,17.4,1,0,0,4.3,2.6
9,9,17.8,1,1,1,4.5,2.7
9,10,18.7,1,1,1,4.7,2.8
10,1,12.1,1,0,0,2.4,1.5
10,2,12.6,1,0,0,2.6,1.6
10,3,13.0,1,0,0,2.8,1.7
10,4,13.4,1,0,0,3.0,1.8
10,5,13.8,1,0,0,3.2,1.9
10,6,14.2,1,0,0,3.4,2.0
10,7,14.6,1,0,0,3.6,2.1
10,8,15.0,1,0,0,3.8,2.2
10,9,15.4,1,0,0,4.0,2.3
10,10,15.8,1,1,1,4.2,2.4
