id,outcome,treatment,age,education,income,health_score,region
1,15.2,0,25,12,25000,75,1
2,18.7,1,30,16,45000,85,2
3,12.8,0,22,10,20000,70,1
4,21.3,1,35,18,60000,90,3
5,14.5,0,28,14,35000,80,2
6,19.8,1,32,17,55000,88,3
7,13.2,0,24,11,22000,72,1
8,22.1,1,38,20,70000,95,3
9,16.3,0,29,15,40000,82,2
10,20.5,1,33,19,65000,92,3
11,14.8,0,26,13,30000,78,1
12,18.9,1,31,16,50000,86,2
13,15.7,0,27,14,32000,79,2
14,23.2,1,40,21,75000,96,3
15,13.9,0,23,12,23000,73,1
16,19.6,1,34,18,58000,89,3
17,16.1,0,30,15,38000,81,2
18,21.8,1,36,19,68000,93,3
19,15.4,0,25,13,28000,76,1
20,20.2,1,32,17,52000,87,2
21,14.2,0,24,11,21000,71,1
22,22.5,1,39,20,72000,94,3
23,16.8,0,31,16,42000,83,2
24,19.3,1,33,18,56000,88,3
25,15.9,0,28,14,34000,80,2
26,21.6,1,37,19,66000,91,3
27,14.6,0,26,12,29000,77,1
28,20.9,1,34,17,54000,89,3
29,16.5,0,29,15,39000,82,2
30,23.1,1,41,22,78000,97,3
31,13.7,0,22,10,19000,69,1
32,18.4,1,30,16,48000,84,2
33,15.1,0,27,13,31000,78,1
34,22.3,1,38,20,71000,95,3
35,14.9,0,25,12,27000,75,1
36,19.7,1,32,17,53000,87,2
37,16.2,0,30,15,37000,81,2
38,21.4,1,35,18,62000,90,3
39,15.6,0,28,14,33000,79,2
40,20.7,1,33,19,64000,91,3
41,14.3,0,24,11,24000,74,1
42,22.0,1,37,20,69000,92,3
43,16.7,0,31,16,41000,83,2
44,19.5,1,32,17,51000,86,2
45,15.8,0,29,14,36000,80,2
46,21.9,1,36,19,67000,93,3
47,14.7,0,26,12,30000,76,1
48,20.3,1,34,18,57000,89,3
49,16.4,0,30,15,40000,82,2
50,22.7,1,40,21,74000,96,3
