firm_id,year,investment,market_value,capital,debt,profit,industry
1,2010,100,500,1000,300,50,1
1,2011,120,550,1120,320,55,1
1,2012,110,520,1230,350,48,1
1,2013,130,580,1360,380,60,1
1,2014,140,620,1500,400,65,1
2,2010,80,400,800,200,40,2
2,2011,90,420,890,210,42,2
2,2012,85,410,975,220,38,2
2,2013,95,440,1070,230,45,2
2,2014,100,460,1170,240,48,2
3,2010,200,1000,2000,500,100,1
3,2011,220,1100,2220,550,110,1
3,2012,210,1050,2430,580,105,1
3,2013,230,1150,2660,610,115,1
3,2014,240,1200,2900,640,120,1
4,2010,60,300,600,150,30,3
4,2011,65,310,665,160,32,3
4,2012,62,305,727,170,29,3
4,2013,68,320,795,180,35,3
4,2014,70,330,865,190,37,3
5,2010,150,750,1500,375,75,2
5,2011,160,780,1660,390,78,2
5,2012,155,760,1815,405,76,2
5,2013,170,820,1985,420,82,2
5,2014,175,850,2160,435,85,2
6,2010,40,200,400,100,20,3
6,2011,42,205,442,105,21,3
6,2012,41,202,483,110,20,3
6,2013,44,210,527,115,22,3
6,2014,45,215,572,120,23,3
7,2010,300,1500,3000,750,150,1
7,2011,320,1600,3320,800,160,1
7,2012,310,1550,3630,850,155,1
7,2013,340,1700,3970,900,170,1
7,2014,350,1750,4320,950,175,1
8,2010,25,125,250,62,12,3
8,2011,26,128,276,65,13,3
8,2012,25,126,301,68,12,3
8,2013,28,132,329,71,14,3
8,2014,29,135,358,74,15,3
9,2010,180,900,1800,450,90,2
9,2011,190,930,1990,465,93,2
9,2012,185,915,2175,480,91,2
9,2013,200,1000,2375,495,100,2
9,2014,205,1025,2580,510,103,2
10,2010,50,250,500,125,25,3
10,2011,52,255,552,130,26,3
10,2012,51,252,603,135,25,3
10,2013,54,260,657,140,27,3
10,2014,55,265,712,145,28,3
