individual_id,time,wage,education,experience,union,married,black,hisp,female
1,1,5.1,12,1,0,0,0,0,0
1,2,5.3,12,2,0,0,0,0,0
1,3,5.4,12,3,0,1,0,0,0
1,4,5.5,12,4,0,1,0,0,0
1,5,5.6,12,5,0,1,0,0,0
2,1,4.8,10,1,0,0,1,0,0
2,2,5.0,10,2,0,0,1,0,0
2,3,5.2,10,3,0,0,1,0,0
2,4,5.3,10,4,0,0,1,0,0
2,5,5.4,10,5,0,0,1,0,0
3,1,6.2,16,1,1,0,0,0,1
3,2,6.5,16,2,1,0,0,0,1
3,3,6.8,16,3,1,0,0,0,1
3,4,7.0,16,4,1,0,0,0,1
3,5,7.2,16,5,1,0,0,0,1
4,1,4.5,8,1,0,0,0,0,1
4,2,4.7,8,2,0,0,0,0,1
4,3,4.9,8,3,0,0,0,0,1
4,4,5.0,8,4,0,0,0,0,1
4,5,5.1,8,5,0,0,0,0,1
5,1,5.8,14,1,0,1,0,0,0
5,2,6.0,14,2,0,1,0,0,0
5,3,6.2,14,3,0,1,0,0,0
5,4,6.3,14,4,0,1,0,0,0
5,5,6.5,14,5,0,1,0,0,0
6,1,4.2,9,1,0,0,0,1,1
6,2,4.4,9,2,0,0,0,1,1
6,3,4.6,9,3,0,0,0,1,1
6,4,4.7,9,4,0,0,0,1,1
6,5,4.8,9,5,0,0,0,1,1
7,1,7.5,18,1,1,0,0,0,0
7,2,7.8,18,2,1,0,0,0,0
7,3,8.1,18,3,1,0,0,0,0
7,4,8.3,18,4,1,0,0,0,0
7,5,8.5,18,5,1,0,0,0,0
8,1,4.0,7,1,0,0,0,0,1
8,2,4.2,7,2,0,0,0,0,1
8,3,4.3,7,3,0,0,0,0,1
8,4,4.4,7,4,0,0,0,0,1
8,5,4.5,7,5,0,0,0,0,1
9,1,6.8,15,1,1,1,0,0,0
9,2,7.0,15,2,1,1,0,0,0
9,3,7.2,15,3,1,1,0,0,0
9,4,7.4,15,4,1,1,0,0,0
9,5,7.6,15,5,1,1,0,0,0
10,1,5.5,13,1,0,0,0,0,0
10,2,5.7,13,2,0,0,0,0,0
10,3,5.9,13,3,0,0,0,0,0
10,4,6.0,13,4,0,0,0,0,0
10,5,6.2,13,5,0,0,0,0,0
