id,running_var,outcome,treatment,cutoff
1,-2.1,8.5,0,0.0
2,-1.8,9.2,0,0.0
3,-1.5,10.1,0,0.0
4,-1.2,10.8,0,0.0
5,-0.9,11.5,0,0.0
6,-0.6,12.2,0,0.0
7,-0.3,12.9,0,0.0
8,0.0,13.6,1,0.0
9,0.3,15.8,1,0.0
10,0.6,16.5,1,0.0
11,0.9,17.2,1,0.0
12,1.2,17.9,1,0.0
13,1.5,18.6,1,0.0
14,1.8,19.3,1,0.0
15,2.1,20.0,1,0.0
16,-2.0,8.3,0,0.0
17,-1.7,9.0,0,0.0
18,-1.4,9.7,0,0.0
19,-1.1,10.4,0,0.0
20,-0.8,11.1,0,0.0
21,-0.5,11.8,0,0.0
22,-0.2,12.5,0,0.0
23,0.1,14.7,1,0.0
24,0.4,15.4,1,0.0
25,0.7,16.1,1,0.0
26,1.0,16.8,1,0.0
27,1.3,17.5,1,0.0
28,1.6,18.2,1,0.0
29,1.9,18.9,1,0.0
30,2.2,19.6,1,0.0
31,-1.9,8.7,0,0.0
32,-1.6,9.4,0,0.0
33,-1.3,10.1,0,0.0
34,-1.0,10.8,0,0.0
35,-0.7,11.5,0,0.0
36,-0.4,12.2,0,0.0
37,-0.1,12.9,0,0.0
38,0.2,15.1,1,0.0
39,0.5,15.8,1,0.0
40,0.8,16.5,1,0.0
41,1.1,17.2,1,0.0
42,1.4,17.9,1,0.0
43,1.7,18.6,1,0.0
44,2.0,19.3,1,0.0
45,2.3,20.0,1,0.0
46,-1.8,8.9,0,0.0
47,-1.5,9.6,0,0.0
48,-1.2,10.3,0,0.0
49,-0.9,11.0,0,0.0
50,-0.6,11.7,0,0.0
51,-0.3,12.4,0,0.0
52,0.0,13.1,1,0.0
53,0.3,15.3,1,0.0
54,0.6,16.0,1,0.0
55,0.9,16.7,1,0.0
56,1.2,17.4,1,0.0
57,1.5,18.1,1,0.0
58,1.8,18.8,1,0.0
59,2.1,19.5,1,0.0
60,2.4,20.2,1,0.0
61,-1.7,8.1,0,0.0
62,-1.4,8.8,0,0.0
63,-1.1,9.5,0,0.0
64,-0.8,10.2,0,0.0
65,-0.5,10.9,0,0.0
66,-0.2,11.6,0,0.0
67,0.1,13.8,1,0.0
68,0.4,14.5,1,0.0
69,0.7,15.2,1,0.0
70,1.0,15.9,1,0.0
71,1.3,16.6,1,0.0
72,1.6,17.3,1,0.0
73,1.9,18.0,1,0.0
74,2.2,18.7,1,0.0
75,2.5,19.4,1,0.0
76,-1.6,8.3,0,0.0
77,-1.3,9.0,0,0.0
78,-1.0,9.7,0,0.0
79,-0.7,10.4,0,0.0
80,-0.4,11.1,0,0.0
81,-0.1,11.8,0,0.0
82,0.2,14.0,1,0.0
83,0.5,14.7,1,0.0
84,0.8,15.4,1,0.0
85,1.1,16.1,1,0.0
86,1.4,16.8,1,0.0
87,1.7,17.5,1,0.0
88,2.0,18.2,1,0.0
89,2.3,18.9,1,0.0
90,2.6,19.6,1,0.0
91,-1.5,8.5,0,0.0
92,-1.2,9.2,0,0.0
93,-0.9,9.9,0,0.0
94,-0.6,10.6,0,0.0
95,-0.3,11.3,0,0.0
96,0.0,12.0,1,0.0
97,0.3,14.2,1,0.0
98,0.6,14.9,1,0.0
99,0.9,15.6,1,0.0
100,1.2,16.3,1,0.0
